"Timestamp","What team were you assigned to?","On a scale of 1–5, how helpful was Project Pulse in keeping you accountable for your contributions?  (1 = Not helpful at all, 5 = Very helpful)","On a scale of 1–5, how helpful was receiving weekly peer evaluations for improving your teamwork?  (1 = Not helpful at all, 5 = Very helpful)","Did receiving weekly peer evaluations motivate you to adjust your behavior or contributions?","(Conditional) If yes, please describe how you adjusted your behavior. (Short answer)","How easy was it to use Project Pulse for submitting activity reports and peer evaluations? (1 = Very difficult, 5 = Very easy)","Compared to traditional peer evaluation methods (e.g., Google Forms, Excel uploads), how would you rate your experience with Project Pulse?","Would you recommend using Project Pulse in future project-based courses?","On a scale of 1–5, how burdensome was it to complete weekly activity reports and peer evaluations? (1 = Extremely burdensome, 5 = Not burdensome at all)","During peer evaluations, do you feel you rated your teammates:  "," What did you like most about using Project Pulse?  ","What would you improve about Project Pulse?  "
"2025/04/27 11:07:51 AM EST","Parcel Search","3","5","Yes","I would take in feedback and adjust behavior accordingly. ","5","Much better","Yes","4","Accurately based on their contribution","I liked how it is a dedicated place to collaborate with your team as well as provide feedback","Some UI stuff, I thought it was a bit annoying to have to wait for all the dates to light up before I could select one, if I could just click through weeks like in a google calendar, that may have worked better. Also maybe notifs? So we could sign up with our emails to receive notifications when a peer eval or WAR was due or when the we submitted a task we could put in a due date for ourselves and get notified when it was approaching."
"2025/04/27 11:14:42 AM EST","MotivateMe","4","4","Yes","","4","About the same","Yes","2","Accurately based on their contribution","N/A","N/A"
"2025/04/27 11:51:34 AM EST","PsychWorks","4","4","Yes","","4","Better","Yes","3","Accurately based on their contribution","I liked how easy it was to quickly input scores and activities.","When typing the description for an activity, ironically, the expand icon of the text area often cuts off the end of the first line of text, making it difficult to edit that part of the description."
"2025/04/27 7:17:44 PM EST","Ft. Worth Diagnostics","4","5","Yes","","5","Much better","Yes","4","Accurately based on their contribution","Being able to see what my teammates contributed this week.","Weekly reminders to submit"
"2025/04/28 9:26:34 AM EST","PsychWorks","5","5","Yes","","3","Better","Maybe","2","Accurately based on their contribution","I have a centralized place to put everything.","The score input process is tedious. I suggest a dropdown list to choose the score."
"2025/04/28 10:53:24 AM EST","FrogCrew","3","2","No","","5","Better","Yes","2","Accurately based on their contribution","How clean the UI was","weekly reminders to submit evaluations "
"2025/04/28 11:47:37 AM EST","FrogCrew","4","4","Maybe","","5","About the same","Maybe","3","Accurately based on their contribution","I was able to see my evaluations ","I don't really have anything"
"2025/04/28 1:28:54 PM EST","PsychWorks","4","4","Yes","I didn’t have to change my behavior but knowing that I was in a group and that I needed to contribute and show that I work motivated me ","4","About the same","Yes","3","Accurately based on their contribution","That I could go back to do the War if I forgot to ","I couldn’t go back if I forgot to do a evaluation to my teammates"
"2025/04/28 5:04:32 PM EST","Parcel Search","4","2","No","","3","Worse","Maybe","2","More positively than they deserved","WAR for entire team was shown all in one page, you could easily view the entire team's contribution + any comments","There should be a fill all for a persons peer review. For example, if John did very well except for one thing, I should be able to click a button to fill all rows with a score, then adjust the ones i want.

Maybe i'm too descriptive with my descriptions, but 255 characters is not enough sometimes for my WAR."
"2025/04/29 10:32:01 AM EST","Trailspur","5","5","Yes","","4","Much better","Yes","4","Accurately based on their contribution","Easy navigation ","The week period selector. If we can make it static instead it would be easier to use "
"2025/04/29 10:33:20 AM EST","PsychWorks","5","4","No","","5","Better","Yes","3","Accurately based on their contribution","The UI is very clean and everything works very well","Maybe set up message notifications to remind students to finish it for the week. "
"2025/04/29 10:58:23 AM EST","PsychWorks","4","3","No","","4","Better","Yes","4","More positively than they deserved","Being able to see my teams activities.","I think going back in the WAR the way the dates all popup is confusing."
"2025/04/29 11:10:57 AM EST","iPELiNT","4","3","No","","5","Better","Yes","4","More positively than they deserved","being able to track activities and work completed","n/a"
"2025/04/29 11:14:50 AM EST","FrogCrew","3","3","No","","5","Better","Yes","3","More positively than they deserved","It was good to have all peer evals/WARs in one place","Choosing a week for WARs/peer evals is a little laggy"
